rho,with_endowment,growth_rate,risky_rate,riskfree_rate
0,TRUE,0,1.01,0.98
0,TRUE,0,1.01,0.995
0,TRUE,0,1.01,1.01
0,TRUE,0,1.025,0.98
0,TRUE,0,1.025,0.995
0,TRUE,0,1.025,1.01
0,TRUE,0,1.04,0.98
0,TRUE,0,1.04,0.995
0,TRUE,0,1.04,1.01
0,FALSE,0,1.01,0.98
0,FALSE,0,1.01,0.995
0,FALSE,0,1.01,1.01
0,FALSE,0,1.025,0.98
0,FALSE,0,1.025,0.995
0,FALSE,0,1.025,1.01
0,FALSE,0,1.04,0.98
0,FALSE,0,1.04,0.995
0,FALSE,0,1.04,1.01
0.9,FALSE,0,1.01,0.98
0.9,FALSE,0,1.01,0.995
0.9,FALSE,0,1.01,1.01
0.9,FALSE,0,1.025,0.98
0.9,FALSE,0,1.025,0.995
0.9,FALSE,0,1.025,1.01
0.9,FALSE,0,1.04,0.98
0.9,FALSE,0,1.04,0.995
0.9,FALSE,0,1.04,1.01
0,FALSE,0.01,1.01,0.98
0,FALSE,0.01,1.01,0.995
0,FALSE,0.01,1.01,1.01
0,FALSE,0.01,1.025,0.98
0,FALSE,0.01,1.025,0.995
0,FALSE,0.01,1.025,1.01
0,FALSE,0.01,1.04,0.98
0,FALSE,0.01,1.04,0.995
0,FALSE,0.01,1.04,1.01
0,FALSE,0.02,1.01,0.98
0,FALSE,0.02,1.01,0.995
0,FALSE,0.02,1.01,1.01
0,FALSE,0.02,1.025,0.98
0,FALSE,0.02,1.025,0.995
0,FALSE,0.02,1.025,1.01
0,FALSE,0.02,1.04,0.98
0,FALSE,0.02,1.04,0.995
0,FALSE,0.02,1.04,1.01
